Date	Date (UTC)	Month	Day	Hour (UTC)	wetweight_g
16.83	1/17/13	1	17	20	1.10E-05
16.87	1/17/13	1	17	21	1.10E-05
16.92	1/17/13	1	17	22	1.11E-05
16.96	1/17/13	1	17	23	1.12E-05
17	1/18/13	1	18	0	1.12E-05
17.04	1/18/13	1	18	1	1.13E-05
17.08	1/18/13	1	18	2	1.14E-05
17.12	1/18/13	1	18	3	1.15E-05
17.17	1/18/13	1	18	4	1.15E-05
17.21	1/18/13	1	18	5	1.16E-05
17.25	1/18/13	1	18	6	1.17E-05
17.29	1/18/13	1	18	7	1.18E-05
17.33	1/18/13	1	18	8	1.18E-05
17.37	1/18/13	1	18	9	1.19E-05
17.42	1/18/13	1	18	10	1.20E-05
17.46	1/18/13	1	18	11	1.21E-05
17.5	1/18/13	1	18	12	1.21E-05
17.54	1/18/13	1	18	13	1.22E-05
17.58	1/18/13	1	18	14	1.23E-05
17.62	1/18/13	1	18	15	1.24E-05
17.67	1/18/13	1	18	16	1.25E-05
17.71	1/18/13	1	18	17	1.25E-05
17.75	1/18/13	1	18	18	1.26E-05
17.79	1/18/13	1	18	19	1.27E-05
17.83	1/18/13	1	18	20	1.28E-05
17.87	1/18/13	1	18	21	1.29E-05
17.92	1/18/13	1	18	22	1.29E-05
17.96	1/18/13	1	18	23	1.30E-05
18	1/19/13	1	19	0	1.31E-05
18.04	1/19/13	1	19	1	1.32E-05
18.08	1/19/13	1	19	2	1.33E-05
18.12	1/19/13	1	19	3	1.33E-05
18.17	1/19/13	1	19	4	1.34E-05
18.21	1/19/13	1	19	5	1.35E-05
18.25	1/19/13	1	19	6	1.36E-05
18.29	1/19/13	1	19	7	1.37E-05
18.33	1/19/13	1	19	8	1.38E-05
18.37	1/19/13	1	19	9	1.38E-05
18.42	1/19/13	1	19	10	1.39E-05
18.46	1/19/13	1	19	11	1.40E-05
18.5	1/19/13	1	19	12	1.41E-05
18.54	1/19/13	1	19	13	1.42E-05
18.58	1/19/13	1	19	14	1.43E-05
18.62	1/19/13	1	19	15	1.44E-05
18.67	1/19/13	1	19	16	1.44E-05
18.71	1/19/13	1	19	17	1.45E-05
18.75	1/19/13	1	19	18	1.46E-05
18.79	1/19/13	1	19	19	1.47E-05
18.83	1/19/13	1	19	20	1.48E-05
18.87	1/19/13	1	19	21	1.49E-05
18.92	1/19/13	1	19	22	1.50E-05
18.96	1/19/13	1	19	23	1.51E-05
19	1/20/13	1	20	0	1.51E-05
19.04	1/20/13	1	20	1	1.52E-05
19.08	1/20/13	1	20	2	1.53E-05
19.12	1/20/13	1	20	3	1.54E-05
19.17	1/20/13	1	20	4	1.55E-05
19.21	1/20/13	1	20	5	1.56E-05
19.25	1/20/13	1	20	6	1.57E-05
19.29	1/20/13	1	20	7	1.58E-05
19.33	1/20/13	1	20	8	1.59E-05
19.37	1/20/13	1	20	9	1.60E-05
19.42	1/20/13	1	20	10	1.61E-05
19.46	1/20/13	1	20	11	1.62E-05
19.5	1/20/13	1	20	12	1.63E-05
19.54	1/20/13	1	20	13	1.63E-05
19.58	1/20/13	1	20	14	1.64E-05
19.62	1/20/13	1	20	15	1.65E-05
19.67	1/20/13	1	20	16	1.66E-05
19.71	1/20/13	1	20	17	1.67E-05
19.75	1/20/13	1	20	18	1.68E-05
19.79	1/20/13	1	20	19	1.69E-05
19.83	1/20/13	1	20	20	1.70E-05
19.87	1/20/13	1	20	21	1.71E-05
19.92	1/20/13	1	20	22	1.72E-05
19.96	1/20/13	1	20	23	1.73E-05
20	1/21/13	1	21	0	1.74E-05
20.04	1/21/13	1	21	1	1.75E-05
20.08	1/21/13	1	21	2	1.76E-05
20.12	1/21/13	1	21	3	1.77E-05
20.17	1/21/13	1	21	4	1.78E-05
20.21	1/21/13	1	21	5	1.79E-05
20.25	1/21/13	1	21	6	1.80E-05
20.29	1/21/13	1	21	7	1.81E-05
20.33	1/21/13	1	21	8	1.82E-05
20.37	1/21/13	1	21	9	1.83E-05
20.42	1/21/13	1	21	10	1.84E-05
20.46	1/21/13	1	21	11	1.85E-05
20.5	1/21/13	1	21	12	1.86E-05
20.54	1/21/13	1	21	13	1.87E-05
20.58	1/21/13	1	21	14	1.88E-05
20.62	1/21/13	1	21	15	1.89E-05
20.67	1/21/13	1	21	16	1.91E-05
20.71	1/21/13	1	21	17	1.92E-05
20.75	1/21/13	1	21	18	1.93E-05
20.79	1/21/13	1	21	19	1.94E-05
20.83	1/21/13	1	21	20	1.95E-05
20.87	1/21/13	1	21	21	1.96E-05
20.92	1/21/13	1	21	22	1.97E-05
20.96	1/21/13	1	21	23	1.98E-05
21	1/22/13	1	22	0	1.99E-05
21.04	1/22/13	1	22	1	2.00E-05
21.08	1/22/13	1	22	2	2.01E-05
21.12	1/22/13	1	22	3	2.02E-05
21.17	1/22/13	1	22	4	2.03E-05
21.21	1/22/13	1	22	5	2.05E-05
21.25	1/22/13	1	22	6	2.06E-05
21.29	1/22/13	1	22	7	2.07E-05
21.33	1/22/13	1	22	8	2.08E-05
21.37	1/22/13	1	22	9	2.09E-05
21.42	1/22/13	1	22	10	2.10E-05
21.46	1/22/13	1	22	11	2.11E-05
21.5	1/22/13	1	22	12	2.12E-05
21.54	1/22/13	1	22	13	2.14E-05
21.58	1/22/13	1	22	14	2.15E-05
21.62	1/22/13	1	22	15	2.16E-05
21.67	1/22/13	1	22	16	2.17E-05
21.71	1/22/13	1	22	17	2.18E-05
21.75	1/22/13	1	22	18	2.19E-05
21.79	1/22/13	1	22	19	2.20E-05
21.83	1/22/13	1	22	20	2.22E-05
21.87	1/22/13	1	22	21	2.23E-05
21.92	1/22/13	1	22	22	2.24E-05
21.96	1/22/13	1	22	23	2.25E-05
22	1/23/13	1	23	0	2.26E-05
22.04	1/23/13	1	23	1	2.28E-05
22.08	1/23/13	1	23	2	2.29E-05
22.12	1/23/13	1	23	3	2.30E-05
22.17	1/23/13	1	23	4	2.31E-05
22.21	1/23/13	1	23	5	2.32E-05
22.25	1/23/13	1	23	6	2.34E-05
22.29	1/23/13	1	23	7	2.35E-05
22.33	1/23/13	1	23	8	2.36E-05
22.37	1/23/13	1	23	9	2.37E-05
22.42	1/23/13	1	23	10	2.38E-05
22.46	1/23/13	1	23	11	2.40E-05
22.5	1/23/13	1	23	12	2.41E-05
22.54	1/23/13	1	23	13	2.42E-05
22.58	1/23/13	1	23	14	2.43E-05
22.62	1/23/13	1	23	15	2.45E-05
22.67	1/23/13	1	23	16	2.46E-05
22.71	1/23/13	1	23	17	2.47E-05
22.75	1/23/13	1	23	18	2.48E-05
22.79	1/23/13	1	23	19	2.50E-05
22.83	1/23/13	1	23	20	2.51E-05
22.87	1/23/13	1	23	21	2.52E-05
22.92	1/23/13	1	23	22	2.53E-05
22.96	1/23/13	1	23	23	2.55E-05
23	1/24/13	1	24	0	2.56E-05
23.04	1/24/13	1	24	1	2.57E-05
23.08	1/24/13	1	24	2	2.59E-05
23.12	1/24/13	1	24	3	2.60E-05
23.17	1/24/13	1	24	4	2.61E-05
23.21	1/24/13	1	24	5	2.62E-05
23.25	1/24/13	1	24	6	2.64E-05
23.29	1/24/13	1	24	7	2.65E-05
23.33	1/24/13	1	24	8	2.66E-05
23.37	1/24/13	1	24	9	2.68E-05
23.42	1/24/13	1	24	10	2.69E-05
23.46	1/24/13	1	24	11	2.70E-05
23.5	1/24/13	1	24	12	2.72E-05
23.54	1/24/13	1	24	13	2.73E-05
23.58	1/24/13	1	24	14	2.74E-05
23.62	1/24/13	1	24	15	2.76E-05
23.67	1/24/13	1	24	16	2.77E-05
23.71	1/24/13	1	24	17	2.78E-05
23.75	1/24/13	1	24	18	2.80E-05
23.79	1/24/13	1	24	19	2.81E-05
23.83	1/24/13	1	24	20	2.82E-05
23.87	1/24/13	1	24	21	2.84E-05
23.92	1/24/13	1	24	22	2.85E-05
23.96	1/24/13	1	24	23	2.87E-05
24	1/25/13	1	25	0	2.88E-05
24.04	1/25/13	1	25	1	2.89E-05
24.08	1/25/13	1	25	2	2.91E-05
24.12	1/25/13	1	25	3	2.92E-05
24.17	1/25/13	1	25	4	2.93E-05
24.21	1/25/13	1	25	5	2.95E-05
24.25	1/25/13	1	25	6	2.96E-05
24.29	1/25/13	1	25	7	2.98E-05
24.33	1/25/13	1	25	8	2.99E-05
24.37	1/25/13	1	25	9	3.00E-05
24.42	1/25/13	1	25	10	3.02E-05
24.46	1/25/13	1	25	11	3.03E-05
24.5	1/25/13	1	25	12	3.05E-05
24.54	1/25/13	1	25	13	3.06E-05
24.58	1/25/13	1	25	14	3.07E-05
24.62	1/25/13	1	25	15	3.09E-05
24.67	1/25/13	1	25	16	3.10E-05
24.71	1/25/13	1	25	17	3.12E-05
24.75	1/25/13	1	25	18	3.13E-05
24.79	1/25/13	1	25	19	3.14E-05
24.83	1/25/13	1	25	20	3.16E-05
24.87	1/25/13	1	25	21	3.17E-05
24.92	1/25/13	1	25	22	3.19E-05
24.96	1/25/13	1	25	23	3.20E-05
25	1/26/13	1	26	0	3.22E-05
25.04	1/26/13	1	26	1	3.23E-05
